Arn,Name,Description,Behavior,Severity,Implementation_Type,Implementation_Identifier,CreateTime
arn:aws:controlcatalog:::control/7tar07l5idkl1bnjxw4n7zj0l,S3 buckets should have event notifications enabled,This control checks if S3 Event Notifications are enabled on an S3 bucket. This control fails if S3 Event Notifications are not enabled on a bucket.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,S3.11,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/3bsf69bolxub33ycbh9oiiphi,Checks if Malware Protection is enabled for an Amazon GuardDuty detector in your account,Checks if Malware Protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Malware Protection feature in Amazon GuardDuty is not enabled for your account.,DETECTIVE,HIGH,AWS::Config::ConfigRule,GUARDDUTY_MALWARE_PROTECTION_ENABLED,2024-01-03 01:00:00+01:00
arn:aws:controlcatalog:::control/by52ti0i4ubc8vc55p7u0984e,Checks if AWS Site-to-Site VPN connections have Amazon CloudWatch logging enabled for both tunnels,Checks if AWS Site-to-Site VPN connections have Amazon CloudWatch logging enabled for both tunnels. The rule is NON_COMPLIANT if a Site-to-Site VPN connection does not have CloudWatch logging enabled for either or both tunnels.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,EC2_VPN_CONNECTION_LOGGING_ENABLED,2024-08-21 02:00:00+02:00
arn:aws:controlcatalog:::control/bgdxgnzufkzzn92vqk6bygo8o,Require an AWS AppSync GraphQL API cache to have encryption at rest enabled.,This control checks whether an AWS AppSync API cache has encryption at rest enabled.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/e3v8fi29x44gio9tofwwihwns,CodeBuild project environments should have a logging configuration,This control checks whether a CodeBuild project environment has at least one log option enabled.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,CodeBuild.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/7e2vbhsghm8rh3nveq0kft19u,Classic Load Balancer should span multiple Availability Zones,This control checks whether a Classic Load Balancer has been configured to span multiple Availability Zones. The control fails if the Classic Load Balancer does not span multiple Availability Zones.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ELB.10,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/dcug5jyd7aj1yu3x1o4uzxr8t,Require an Amazon EBS volume configured through an Amazon EC2 launch template to encrypt data at rest,This control checks whether an Amazon EC2 launch template with EBS volume block device mappings is configured to enable EBS volume encryption.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-10-05 02:00:00+02:00
arn:aws:controlcatalog:::control/eolw7feyvr8b4l2lfhp3bneou,"Require that the organization's AWS Key Management Service resources are accessible only by IAM principals that belong to the organization, or by an AWS service","This control disallows AWS Key Management Service API operations for your organization's AWS Key Management Service (KMS) resources by an AWS IAM principal, when the principal is outside of the organization and is not an AWS service principal.",PREVENTIVE,MEDIUM,AWS::Organizations::Policy::RESOURCE_CONTROL_POLICY,,2024-11-13 01:00:00+01:00
arn:aws:controlcatalog:::control/497wrm2xnk1wxlf4obrdo7mej,Checks if Amazon CloudWatch Log Groups are encrypted with any AWS KMS key or a specified AWS KMS key Id,Checks if Amazon CloudWatch Log Groups are encrypted with any AWS KMS key or a specified AWS KMS key Id. The rule is NON_COMPLIANT if a CloudWatch Log Group is not encrypted with a KMS key or is encrypted with a KMS key not supplied in the rule parameter.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,CLOUDWATCH_LOG_GROUP_ENCRYPTED,2019-07-18 02:00:00+02:00
arn:aws:controlcatalog:::control/3y0z7ziftmm28vdnlzjwe9410,Enable CloudTrail in all available regions,"Track AWS API call activity within your accounts using AWS CloudTrail, which records call history including the identity of the caller and the time of the call.",PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-05-21 02:00:00+02:00
arn:aws:controlcatalog:::control/605ry5qqktxl4iic73cynrxse,Checks if a recovery point was created for AWS Storage Gateway volumes,Checks if a recovery point was created for AWS Storage Gateway volumes. The rule is NON_COMPLIANT if the Storage Gateway volume does not have a corresponding recovery point created within the specified time period.,DETECTIVE,HIGH,AWS::Config::ConfigRule,STORAGEGATEWAY_LAST_BACKUP_RECOVERY_POINT_CREATED,2021-07-23 02:00:00+02:00
arn:aws:controlcatalog:::control/mpnxlqffwsc3ompkv505c94h,Checks if AWS Network Firewall firewalls have logging enabled,Checks if AWS Network Firewall firewalls have logging enabled. The rule is NON_COMPLIANT if a logging type is not configured. You can specify which logging type you want the rule to check.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,NETFW_LOGGING_ENABLED,2022-11-02 01:00:00+01:00
arn:aws:controlcatalog:::control/4jc77cq1lcr7g64xywwypykv8,Detect whether public access to Amazon RDS database instances is enabled,Detect Amazon RDS database instances that allow public access.,DETECTIVE,HIGH,AWS::Config::ConfigRule,RDS_INSTANCE_PUBLIC_ACCESS_CHECK,2019-07-30 02:00:00+02:00
arn:aws:controlcatalog:::control/5q59ccry3dhfdrikso1f3yasc,Checks if the AWS KMS key policy allows public access,Checks if the AWS KMS key policy allows public access. The rule is NON_COMPLIANT if the KMS key policy allows public access to the KMS key.,DETECTIVE,CRITICAL,AWS::Config::ConfigRule,KMS_KEY_POLICY_NO_PUBLIC_ACCESS,2024-08-21 02:00:00+02:00
arn:aws:controlcatalog:::control/37d0dcugjcf4g8srpy5m1ua28,AWS KMS keys should not be deleted unintentionally,This control checks whether AWS Key Management Service (KMS) customer managed keys (CMK) are scheduled for deletion. The control fails if a KMS CMK is scheduled for deletion.,DETECTIVE,CRITICAL,AWS::SecurityHub::SecurityControl,KMS.3,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/1s22umk2oofcd18imoxbb0j9r,Require an Elasticsearch domain to encrypt data at rest,This control checks whether Elasticsearch domains have encryption-at-rest enabled.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-05-19 02:00:00+02:00
arn:aws:controlcatalog:::control/b7l09lt8xab9d103b83jz3kha,Checks if an Amazon WorkSpace volume has the user volume encryption settings set to enabled,Checks if an Amazon WorkSpace volume has the user volume encryption settings set to enabled. This rule is NON_COMPLIANT if the encryption setting is not enabled for the user volume.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,WORKSPACES_USER_VOLUME_ENCRYPTION_ENABLED,2024-05-21 02:00:00+02:00
arn:aws:controlcatalog:::control/40nrh3p2f57harlddvrqxxk8d,Require an Amazon Redshift cluster to have audit logging configured,This control checks whether an Amazon Redshift cluster has audit logging activated.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/5015te7azm2g0kzfkazsm1u23,Require an Amazon ElastiCache (Redis OSS) cluster to have automatic minor version upgrades activated,This control checks whether an Amazon ElastiCache (Redis OSS) cluster has automatic minor version upgrades enabled.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2023-07-24 02:00:00+02:00
arn:aws:controlcatalog:::control/dotzbwbqu9bwjk667tdz1s5gf,Require an Amazon EFS volume to have an automated backup plan,This control checks whether your Amazon EFS file system has been configured with automatic backups through AWS Backup.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/3ksucrmpxrisrr73zuw5jxry8,Disallow changes to AWS Config aggregation set up by Control Tower,Protect the integrity of AWS Config aggregation set up by Control Tower to collect configuration and compliance data.,PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-04-24 02:00:00+02:00
arn:aws:controlcatalog:::control/3qazzpguqq0n6geyu5kzwh1dl,EFS access points should enforce a user identity,This control checks whether Amazon Elastic File System (Amazon EFS) access points are configured to enforce a user identity. This control fails if ‘PosixUser’ is not defined under ‘configuration’ or if parameters are provided and there is no match in the corresponding parameter.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,EFS.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/ezfflnh8xgshxb78grtt5sjc5,IAM root user access key should not exist,This AWS control checks whether the root user access key is available.,DETECTIVE,CRITICAL,AWS::SecurityHub::SecurityControl,IAM.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/6dpgkjzyyt65olhsx6finiabk,Require encryption on all AWS CodeBuild project artifacts,This control checks whether AWS CodeBuild projects are configured to encrypt artifacts.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/2j02qinjaeklsfmzqe88p6ex1,Require that an AWS KMS asymmetric key with RSA key material used for encryption has a key length greater than 2048 bits,"This control checks whether an AWS KMS asymmetric key with RSA key material, which is used for encryption and decryption, to use a key spec with a key length greater than 2048 bits (that is, a key spec other than 'RSA_2048').",PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-10-05 02:00:00+02:00
arn:aws:controlcatalog:::control/atc5hbhnft0xrwwa902e967oz,ECR repositories should have at least one lifecycle policy configured,This control checks whether an ECR repository has at least one lifecycle policy configured. This control fails if an ECR repository does not have any lifecycle policies configured.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ECR.3,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/9j9nwxj789d82sypnukhyyowy,Detect whether public write access to Amazon S3 buckets is allowed,Secure access to data stored in Amazon S3 buckets by detecting whether public write access is allowed.,DETECTIVE,HIGH,AWS::Config::ConfigRule,S3_BUCKET_PUBLIC_WRITE_PROHIBITED,2018-11-15 01:00:00+01:00
arn:aws:controlcatalog:::control/ek6wc2bmgzmho1kk6bn236mqt,Disallow all public sharing of Amazon EBS snapshots,"This control blocks the public sharing of your Amazon EBS snapshots by configuring block public access for Amazon EBS snapshot settings at an account level. This setting has the effect of preventing all public sharing of your EBS snapshots, so that snapshots that previously were publicly shared are treated as private, and are no longer publicly available.",PREVENTIVE,MEDIUM,AWS::Organizations::Policy::DECLARATIVE_POLICY_EC2,,2024-12-01 01:00:00+01:00
arn:aws:controlcatalog:::control/9rzcmeejk0s6h5dnneg4co4fo,Require that Amazon EC2 transit gateways refuse automatic Amazon VPC attachment requests,This control checks whether Amazon EC2 transit gateways are configured to accept Amazon VPC attachment requests automatically.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/440h83vm4atxzcuvbtsakqxsg,Amazon Elastic MapReduce cluster master nodes should not have public IP addresses,This control checks whether master nodes on EMR clusters have public IP addresses.,DETECTIVE,HIGH,AWS::SecurityHub::SecurityControl,EMR.1,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/asxseuqeuohimxb9smsjwk8x3,CodeBuild project environment variables should not contain clear text credentials,This AWS control checks whether the project contains environment variables AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY.,DETECTIVE,CRITICAL,AWS::SecurityHub::SecurityControl,CodeBuild.2,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/1038h7d21e6g8i10g6v3xsssi,Checks if an Amazon Cognito user pool has advanced security enabled,"Checks if an Amazon Cognito user pool has advanced security enabled. The rule is NON_COMPLIANT if advanced security is not enabled. Optionally, you can specify an advanced security mode for the rule to check.",DETECTIVE,HIGH,AWS::Config::ConfigRule,COGNITO_USER_POOL_ADVANCED_SECURITY_ENABLED,2024-05-09 02:00:00+02:00
arn:aws:controlcatalog:::control/xuxydg6bba6tgk5ygmarof75,Checks if automated sensitive data discovery is enabled for Amazon Macie,Checks if automated sensitive data discovery is enabled for Amazon Macie. The rule is NON_COMPLIANT if automated sensitive data discovery is disabled. The rule is APPLICABLE for administrator accounts and NOT_APPLICABLE for member accounts.,DETECTIVE,HIGH,AWS::Config::ConfigRule,MACIE_AUTO_SENSITIVE_DATA_DISCOVERY_CHECK,2023-06-01 02:00:00+02:00
arn:aws:controlcatalog:::control/4t6npb1xfud01v5ihhj9ldfax,Enable AWS Config in all available regions,Identify configuration changes to AWS resources using AWS Config.,PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-04-30 02:00:00+02:00
arn:aws:controlcatalog:::control/e8vaezeylthbutvrg1dp39etj,Require an Amazon RDS database instance to have a VPC configuration,"This control checks whether an Amazon RDS database (DB) instance is deployed in a VPC (that is, an EC2 VPC instance).",PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/7h3w6x1qz33e0swgny0r74ddl,Require an Amazon ECS container to run as non-privileged,This control checks whether container definitions in Amazon Elastic Container Service (ECS) task definitions are configured with elevated privileges.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/uanhnqbg62ahgiofzztotbkt,Checks if an AWS Database Migration Service (AWS DMS) endpoint for Amazon Neptune databases is configured with IAM authorization,Checks if an AWS Database Migration Service (AWS DMS) endpoint for Amazon Neptune databases is configured with IAM authorization. The rule is NON_COMPLIANT if an AWS DMS endpoint where Neptune is the target has IamAuthEnabled set to false.,DETECTIVE,HIGH,AWS::Config::ConfigRule,DMS_NEPTUNE_IAM_AUTHORIZATION_ENABLED,2024-01-03 01:00:00+01:00
arn:aws:controlcatalog:::control/7ssm1k3r6iltm4pb3n2qan4a9,S3 bucket server access logging should be enabled,This control checks if an Amazon S3 Bucket has server access logging enabled to a chosen target bucket.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,S3.9,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/f4b6bay8cvkof8j6t8mcay6up,Require any AWS Network Firewall firewall policy to have an associated rule group,This control checks whether there is at least one stateful or stateless rule group associated with an AWS Network Firewall firewall policy.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/3jw8po9x95lr2nob65iaqhqir,Checks whether IAM groups have at least one IAM user,Checks whether IAM groups have at least one IAM user.,DETECTIVE,LOW,AWS::Config::ConfigRule,IAM_GROUP_HAS_USERS_CHECK,2018-01-05 01:00:00+01:00
arn:aws:controlcatalog:::control/c92ed44a1bs6fko01twdx8x3a,Require an Amazon CloudWatch log group to be encrypted at rest with an AWS KMS key,This control checks whether an Amazon CloudWatch log group is encrypted at rest with an AWS KMS key,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-07-24 02:00:00+02:00
arn:aws:controlcatalog:::control/6qvep4e99ha6pgc0osehy0w4t,Require an Amazon RDS DB parameter group to require Transport Layer Security (TLS) connections for supported engine types,"This control checks whether an RDS DB parameter group requires Transport Layer Security (TLS) connections, for supported engine types.",PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/1g92d5z70tbs4vp8iv7rk2meq,Checks if AWS Shield Advanced is enabled in your AWS account and this subscription is set to automatically renew,Checks if AWS Shield Advanced is enabled in your AWS account and this subscription is set to automatically renew. The rule is COMPLIANT if Shield Advanced is enabled and auto renew is enabled.,DETECTIVE,HIGH,AWS::Config::ConfigRule,SHIELD_ADVANCED_ENABLED_AUTORENEW,2019-07-18 02:00:00+02:00
arn:aws:controlcatalog:::control/2j9gjxqfo040xtx8kd1jf4ni6,Detect whether Amazon EBS optimization is enabled for Amazon EC2 instances,Detect whether Amazon EBS optimization is enabled for your Amazon EC2 instances that can be optimized for EBS.,DETECTIVE,HIGH,AWS::Config::ConfigRule,EBS_OPTIMIZED_INSTANCE,2019-07-30 02:00:00+02:00
arn:aws:controlcatalog:::control/8jyhx8tw05jw29leqyxxzvf04,Require an AWS Lambda function to be in a customer-managed Amazon Virtual Private Cloud (VPC),This control checks whether an AWS Lambda function has been configured with access to resources in a customer-managed Amazon Virtual Private Cloud (VPC).,PROACTIVE,LOW,AWS::CloudFormation::Type::HOOK,,2023-07-24 02:00:00+02:00
arn:aws:controlcatalog:::control/adj33e6m5rftzqprcwpkyp5op,Checks if Amazon Redshift clusters are logging audits to a specific bucket,Checks if Amazon Redshift clusters are logging audits to a specific bucket. The rule is NON_COMPLIANT if audit logging is not enabled for a Redshift cluster or if the 'bucketNames' parameter is provided but the audit logging destination does not match.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,REDSHIFT_AUDIT_LOGGING_ENABLED,2021-11-22 01:00:00+01:00
arn:aws:controlcatalog:::control/e79v0zr4za0glvkkaalwgmy78,RDS cluster snapshots and database snapshots should be encrypted at rest,This control checks whether Amazon RDS cluster snapshots and database snapshots are encrypted.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,RDS.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/3ryt59hz2zkf3884avx32g51z,Stopped EC2 instances should be removed after a specified time period,"This control checks whether any EC2 instances have been stopped for more than the allowed number of days. An EC2 instance fails this check if it is stopped for longer than the maximum allowed time period, which by default is 30 days.",DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,EC2.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/6cxj9kl0x1rhagbipexjockey,"Checks that the access granted by the Amazon S3 bucket is restricted to any of the AWS principals, federated users, service principals, IP addresses, or VPCs that you provide","Checks that the access granted by the Amazon S3 bucket is restricted to any of the AWS principals, federated users, service principals, IP addresses, or VPCs that you provide. The rule is COMPLIANT if a bucket policy is not present.",DETECTIVE,HIGH,AWS::Config::ConfigRule,S3_BUCKET_POLICY_GRANTEE_CHECK,2018-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/7fur69l67qg0bsa0gnqdr49jp,Checks if an AWS CodeBuild report group has encryption at rest setting enabled,Checks if an AWS CodeBuild report group has encryption at rest setting enabled. The rule is NON_COMPLIANT if 'EncryptionDisabled' is 'true'.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,CODEBUILD_REPORT_GROUP_ENCRYPTED_AT_REST,2024-04-10 02:00:00+02:00
arn:aws:controlcatalog:::control/dfanrd8y5p7oj8fjyugqnakfr,Detect whether AWS Systems Manager documents owned by the account are public,Detects whether AWS Systems Manager (SSM) documents owned by the account are public. This rule is NON_COMPLIANT if any documents with owner 'Self' are public.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,SSM_DOCUMENT_NOT_PUBLIC,2021-11-30 01:00:00+01:00
arn:aws:controlcatalog:::control/8z6s5s1vsaxgc2db0ny6pue61,Require an Amazon S3 bucket to have versioning enabled,This control checks whether an Amazon Simple Storage Service (Amazon S3) bucket has versioning enabled.,PROACTIVE,LOW,AWS::CloudFormation::Type::HOOK,,2023-07-24 02:00:00+02:00
arn:aws:controlcatalog:::control/4gqcm1tpsuij5vmhtk4n6b4vf,Checks if a recovery point was created for Amazon DynamoDB Tables within the specified period,Checks if a recovery point was created for Amazon DynamoDB Tables within the specified period. The rule is NON_COMPLIANT if the DynamoDB Table does not have a corresponding recovery point created within the specified time period.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,DYNAMODB_LAST_BACKUP_RECOVERY_POINT_CREATED,2021-07-23 02:00:00+02:00
arn:aws:controlcatalog:::control/742lj0swg82u6ql8zgt51s7ji,Disallow deletion of AWS Config Aggregation Authorizations created by AWS Control Tower,Prevent deletion of AWS Config aggregation authorizations created by AWS Control Tower.,PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-10-14 02:00:00+02:00
arn:aws:controlcatalog:::control/cok7rgoujcdjcy6bjzgpvnq8w,Require an AWS CloudTrail trail to have log file validation activated,This control checks whether log file integrity validation is enabled on an AWS CloudTrail trail.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/1b5pd15ptedn8ojscxjla3dsc,Checks if S3 buckets have replication rules enabled,Checks if S3 buckets have replication rules enabled. The rule is NON_COMPLIANT if an S3 bucket does not have a replication rule or has a replication rule that is not enabled.,DETECTIVE,LOW,AWS::Config::ConfigRule,S3_BUCKET_REPLICATION_ENABLED,2018-04-10 02:00:00+02:00
arn:aws:controlcatalog:::control/bl21dopmmejux8nnotqh9apfj,A WAF Regional rule group should have at least one rule,This control checks whether a WAF Regional rule group has at least one rule. The control fails if no rules are present within a rule group.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,WAF.3,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/k3d8si0zsxhlodnq4gehffpb,Require an Amazon S3 access point to have a Block Public Access (BPA) configuration with all options set to true,This control checks whether an S3 access point has been configured with a Block Public Access (BPA) configuration that has all options set to true.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/a6j0c4drzvebbfmg6uam8rdkh,Require an Amazon CloudFront distribution to use SNI to serve HTTPS requests,This control checks whether your Amazon CloudFront distributions are configured to use SNI to serve HTTPS requests.,PROACTIVE,LOW,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/5f52xzzr3c3pf47kumoyqcq08,Checks if an Amazon Elastic File System (Amazon EFS) file system has automatic backups enabled,Checks if an Amazon Elastic File System (Amazon EFS) file system has automatic backups enabled. The rule is NON_COMPLIANT if `BackupPolicy.Status` is set to DISABLED.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,EFS_AUTOMATIC_BACKUPS_ENABLED,2024-04-24 02:00:00+02:00
arn:aws:controlcatalog:::control/ds5a2exrhg3hns10odsvl48r9,Checks if an Amazon Aurora MySQL cluster has backtracking enabled,Checks if an Amazon Aurora MySQL cluster has backtracking enabled. The rule is NON_COMPLIANT if the Aurora cluster uses MySQL and it does not have backtracking enabled.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,AURORA_MYSQL_BACKTRACKING_ENABLED,2020-07-15 02:00:00+02:00
arn:aws:controlcatalog:::control/13s8u3tbnm1vtnpiocjc99272,Require an Amazon Redshift cluster to have a unique database name,This control checks whether an Amazon Redshift cluster has changed its database name from the default value.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/duombdryr3yrwwhik7bl2gs0m,Require any Amazon ECS cluster to have container insights activated,This control checks whether your Amazon ECS clusters have container insights enabled.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/2npf8p29hz6uyqjshzxnemw84,Require an Amazon CloudWatch alarm to have an action configured for the alarm state,This control checks whether an Amazon CloudWatch alarm has at least one action configured for the alarm state.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2023-07-24 02:00:00+02:00
arn:aws:controlcatalog:::control/edccqs99tdhh2223elk6ia3k,Checks if Amazon OpenSearch Service version updates are available but not installed,Checks if Amazon OpenSearch Service version updates are available but not installed. The rule is NON_COMPLIANT for an OpenSearch domain if the latest software updates are not installed.,DETECTIVE,LOW,AWS::Config::ConfigRule,OPENSEARCH_UPDATE_CHECK,2023-01-23 01:00:00+01:00
arn:aws:controlcatalog:::control/8pu5dvvv27zdohdqpw2xswtnx,Application Load Balancer deletion protection should be enabled,This control checks whether an Application Load Balancer has deletion protection enabled. The control fails if deletion protection is not configured.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ELB.6,2022-11-28 01:00:00+01:00
